,section,headline,summary,date
0,Middle East,Rare Egyptian Protests See Dozens Arrested,Egyptian authorities made dozens of arrests after hundreds of people took to the streets of Cairo and other cities overnight in the first significant antigovernment protests in years.,20190921
1,Middle East,Yemeni Rebels Warn Iran Plans Another Strike Soon,"Houthi militants in Yemen have warned foreign diplomats that Iran is preparing a follow-up strike to the missile and drone attack that crippled Saudi Arabia’s oil industry a week ago, people familiar with the matter said.",20190921
2,Pro Bankruptcy Bankruptcy,Sugarfina Sues to Get Back Candy Held at NY Warehouse,"Sugarfina sued GLJ, also known as Midnitesnax, and MJC Confections, also doing business as the Hampton Popcorn Company, for allegedly holding its sweets as collateral for missed payments.",20190921
3,Politics,Timeline of Trump-Ukraine-Bidens Story,Events leading up to President Trump’s call with Ukraine President Volodymyr Zelensky in July.,20190921
4,World,Students Take to the Streets for Day of Action on Climate Change,Hundreds of thousands of students led a wave of rallies around the world to pressure governments to commit to tougher measures against climate change at the United Nations next week.,20190921
5,Election 2020,Democratic Opponents Search for Plan Against Elizabeth Warren,"Elizabeth Warren is building a broad coalition of Democratic voters, and her rivals are taking notice. But so far, they are still testing out ways to undercut her appeal.",20190921
6,Streetwise,Three Market Shocks and Investors Say ‘No Problem’,"Remarkable disruptions in overnight borrowing, the oil market and a major rotation in the stock market have barely made ripples.",20190921
7,Heard on the Street,WeWork Is a Headache for SoftBank,Will We go public this year or not? The question matters for technology giant SoftBank as well as WeWork’s embattled parent company.,20190921
8,U.S.,High-Profile Cases Spark New Debate Over Felony-Murder Prosecutions,"Recent cases, including one involving a pregnant Alabama woman, have renewed criticism of a legal principle that allows murder charges to be filed when someone is killed during the commission of a felony, regardless of whether the death was intentional.",20190921
9,Schools,School-Choice Expert Has Unique Take on Brooklyn District’s New Admissions System,"Neil Dorosin, who helped create New York City’s complex system for matching students to public high schools, wrestled with a choice when his 10-year-old daughter needed a middle school seat this fall.",20190921
10,Health & Wellness,Getting Through to Your Teen About the Dangers of Vaping,"As vaping-related illnesses and deaths mount, it’s even more important for parents to talk with their kids. Here’s how to have an effective conversation.",20190921
11,Opinion,An Altar to Learning at Temple,"The university’s new Charles Library, designed by Snøhetta, is a joyously extroverted building that embraces its neighborhood, exploits the social energy of the community and celebrates the quest for knowledge.",20190921
12,Tech,"Uber, Lyft Drivers Torn as California Law Could Reclassify Them",Some gig-economy workers who drive for Uber and Lyft see downsides ahead with California’s new law that might label them as employees instead of independent contractors.,20190921
13,Opinion,Pepper...and Salt,Pepper...and Salt,20190921
14,Election 2020,What Matters This Week in the 2020 Race,"Early this week, Sen. Elizabeth Warren held a rally in New York, a state that is nearly impossible for Democrats to lose. On the same day, President Trump held a rally in New Mexico, a state that will be hard for Republicans to win. Those moves reveal much about how the two parties see next year’s presidential race.",20190921
15,Whats News Business Finance,What’s News: Business & Finance,What’s News: Business & Finance,20190921
16,Whats News World Wide,What’s News: World-Wide,What’s News: World-Wide,20190921
17,Election 2020,Democrats Make Pitch in Iowa as Warren Overtakes Biden in Poll,"A traditional Iowa event served as a test laboratory for how to win the first round of Democratic presidential-nomination balloting, while a new poll showed Elizabeth Warren ahead of Joe Biden for the first time in the state.",20190921
18,Politics,Trump Repeatedly Pressed Ukraine to Probe Biden’s Son,"President Trump in a July phone call repeatedly pressured the president of Ukraine to investigate Joe Biden’s son, urging Volodymyr Zelensky about eight times to work with Rudy Giuliani on a probe that could hamper Mr. Trump’s potential 2020 opponent.",20190921
19,U.K.,Architect of Labour’s Leftward Shift Wants to Recast Britain’s Economy,"John McDonnell, a close ally of party leader Jeremy Corbyn, seeks to become the U.K.’s first avowedly socialist finance minister in half a century, pushing higher taxes on the rich and renationalized railways and utilities.",20190921
20,Credit Markets,Muni-Bond Investors Embrace Higher Risk,"Investors are buying hundreds of millions of dollars of debt issues from unrated and below-investment-grade municipal borrowers, a shift in a corner of the bond market commonly considered almost as safe as Treasurys.",20190921
21,Politics,"U.S. Sanctions Iran’s Central Bank, Says It Will Send Military Forces to Saudi Arabia","The U.S. said it would send military forces and hardware to Gulf allies and moved to sever some of Iran’s last ties to world markets on Friday, while preparing to outline a case for international action next week when world leaders gather at the United Nations.",20190921
22,Television,Five Things to Know About the Emmys,Another farewell to “Game of Thrones” and a close race in comedy are among things to watch for in Sunday’s awards show for television.,20190921
23,Business,The War for Talent in the Age of Netflix,"In the battle to dominate the new entertainment landscape, Hollywood’s titans are borrowing from Netflix’s playbook, transforming how they do business with writers, producers and stars—and how money is made in entertainment.",20190921
24,The Captain Class,WeWork’s Adam Neumann Was Right About One Thing: Someone Needs to Reinvent Work,"How was the We Co. CEO able to raise so much money? Perhaps because he took aim at the rulebook for how we work, written a century ago by Henry Ford.",20190921
